iter	RMSE
324	0.4288080158
325	0.4282762614
326	0.4279304229
327	0.4277001924
328	0.427306988
329	0.4268246984
330	0.4263679612
331	0.4257922299
332	0.4255281006
333	0.4251423334
334	0.4245247582
335	0.4242006707
336	0.4237549997
337	0.4235496821
338	0.4230261902
339	0.4227070931
340	0.4222511297
341	0.4219901049
342	0.4217126915
343	0.4213465167
344	0.4209420567
345	0.4206324651
346	0.4202814216
347	0.4198852076
348	0.4195978784
349	0.4194315218
350	0.4191418254
351	0.4187511114
352	0.4184506874
353	0.4179939031
354	0.4175513192
355	0.4172821397
356	0.4169392608
357	0.4165864861
358	0.4162124557
359	0.4158453364
360	0.4153526842
361	0.4149967361
362	0.4145745344
363	0.4143777785
364	0.4141063509
365	0.4137461484
366	0.4134338043
367	0.4131296412
368	0.4127307738
369	0.4124049079
370	0.4120199223
371	0.4117617121
372	0.4114623423
373	0.4110551477
374	0.410582493
375	0.410234742
376	0.4099362932
377	0.4095046792
378	0.4092436813
379	0.408862044
380	0.4085838253
381	0.40824575
382	0.4079789317
383	0.407776364
384	0.407540394
385	0.4071832009
386	0.406893723
387	0.4065717804
388	0.4062011342
389	0.4059165657
390	0.4055319992
391	0.4051832584
392	0.4049130119
393	0.4046657599
394	0.4042910366
395	0.4039519471
396	0.4036091743
397	0.4032995115
398	0.4030793702
399	0.4027786543
400	0.4024954518
401	0.4021938703
402	0.4017931893
403	0.4014982729
404	0.401318971
405	0.400769528
406	0.4004593129
407	0.4000426323
408	0.3997039837
409	0.3995135463
410	0.399225264
411	0.3988138595
412	0.3984078073
413	0.3981434186
414	0.3977686074
415	0.3974280594
416	0.3970228465
417	0.3967734941
418	0.3965501546
419	0.3963037199
420	0.3960922713
421	0.3955497912
422	0.3950268996
423	0.3948930076
424	0.3945738528
425	0.3940925869
426	0.3937227049
427	0.3934666871
428	0.3930531363
429	0.3926347896
430	0.3922393713
431	0.3919074255
432	0.3915557326
433	0.3910854134
434	0.390807336
435	0.3904840673
436	0.3901057276
437	0.389924262
438	0.3896969747
439	0.3894166398
440	0.3892036666
441	0.3887355005
442	0.3882626305
443	0.3880126767
444	0.3876249453
445	0.3874120177
446	0.3872161251
447	0.3869640003
448	0.3866778001
449	0.3864949197
450	0.3861149268
451	0.3857885223
452	0.385484922
453	0.3852591965
454	0.3850443616
455	0.3847185868
456	0.3842138526
457	0.3839689602
458	0.3836834166
459	0.3833530656
460	0.3828475692
461	0.3825477128
462	0.3822023505
463	0.3817823043
464	0.3814767039
465	0.3813149632
466	0.3809195977
467	0.3807702964
468	0.3805122723
469	0.3802259461
470	0.3798661407
471	0.37947003
472	0.3792339103
473	0.3788670654
474	0.3784909063
475	0.3782592239
476	0.3777697033
477	0.3774716327
478	0.377154166
479	0.3768951064
480	0.3766287027
481	0.3764348207
482	0.3760210439
483	0.3757506882
484	0.3755603329
485	0.3752126724
486	0.3750123577
487	0.3745820519
488	0.3743676873
489	0.3741441476
490	0.3739285448
491	0.3735822921
492	0.3734346197
493	0.3733019121
494	0.3729766086
495	0.3725840968
496	0.3723174714
497	0.3720914635
498	0.3717280549
499	0.3715324493
