iter	Passed	Remaining
202	28236	41311
203	28433	41256
204	28534	41061
205	28730	41004
206	28838	40819
207	29032	40757
208	29132	40562
209	29330	40503
210	29434	40315
211	29629	40251
212	29736	40067
213	29845	39887
214	29942	39691
215	30042	39500
216	30236	39433
217	30340	39247
218	30537	39182
219	30641	38998
220	30739	38806
221	30840	38620
222	31040	38557
223	31142	38372
224	31337	38300
225	31439	38117
226	31551	37945
227	31736	37861
228	31840	37679
229	32035	37606
230	32235	37538
231	32440	37474
232	32731	37507
233	32933	37436
234	33032	37249
235	33133	37065
236	33241	36888
237	33344	36707
238	33436	36514
239	33630	36433
240	33830	36357
241	33933	36177
242	34121	36087
243	34224	35907
244	34327	35728
245	34432	35552
246	34627	35468
247	34824	35386
248	35023	35305
249	35130	35130
250	35323	35041
251	35522	34958
252	35628	34783
253	35722	34597
254	35830	34425
255	35930	34245
256	36124	34156
257	36221	33975
258	36324	33800
259	36424	33623
260	36520	33442
261	36623	33268
262	36726	33096
263	36919	33003
264	37019	32828
265	37217	32739
266	37323	32570
267	37517	32477
268	37618	32304
269	37725	32136
270	37916	32040
271	38021	31871
272	38206	31768
273	38317	31605
274	38505	31504
275	38607	31333
276	38803	31239
277	38906	31069
278	39000	30892
279	39106	30726
280	39304	30632
281	39500	30536
282	39699	30440
283	39802	30272
284	40000	30175
285	40104	30008
286	40299	29908
287	40402	29740
288	40599	29641
289	40701	29473
290	40804	29306
291	40998	29204
292	41101	29037
293	41299	28937
294	41408	28775
295	41597	28668
296	41698	28501
297	41895	28399
298	41997	28232
299	42196	28130
300	42392	28027
301	42495	27861
302	42597	27695
303	42795	27591
304	42993	27487
305	43191	27382
306	43310	27227
307	43413	27063
308	43519	26900
309	43716	26794
310	43910	26685
311	44110	26579
312	44213	26414
313	44409	26306
314	44516	26144
315	44710	26034
316	44908	25924
317	45012	25761
318	45207	25650
319	45313	25488
320	45409	25322
321	45606	25211
322	45702	25044
323	45804	24881
324	45904	24717
325	46013	24559
326	46107	24393
327	46298	24278
328	46416	24125
329	46597	24004
330	46705	23846
331	46798	23681
332	46996	23568
333	47098	23408
334	47295	23294
335	47397	23134
336	47494	22972
337	47598	22813
338	47696	22652
339	47893	22538
340	47998	22380
341	48192	22264
342	48297	22106
343	48403	21950
344	48599	21834
345	48790	21716
346	48990	21600
347	49102	21447
348	49296	21328
349	49392	21168
350	49589	21050
351	49702	20897
352	49889	20775
353	49993	20618
354	50188	20499
355	50288	20341
356	50400	20188
357	50491	20027
358	50687	19907
359	50802	19756
360	50992	19634
361	51089	19476
362	51281	19354
363	51480	19234
364	51589	19081
365	51683	18922
366	51784	18766
367	51885	18610
368	52075	18487
369	52275	18367
370	52473	18245
371	52574	18090
372	52677	17935
373	52873	17812
374	53071	17690
375	53178	17537
376	53370	17412
377	53474	17258
378	53569	17102
379	53668	16947
380	53778	16796
381	53964	16669
382	54076	16519
383	54170	16364
384	54265	16209
385	54463	16085
386	54569	15933
387	54676	15782
388	54862	15654
389	54976	15506
390	55161	15377
391	55263	15225
392	55460	15099
393	55561	14947
394	55767	14824
395	55959	14696
396	56058	14544
397	56162	14393
398	56260	14241
399	56458	14114
400	56657	13987
401	56857	13860
402	56961	13710
403	57059	13558
404	57253	13429
405	57356	13279
406	57552	13150
407	57752	13022
408	57855	12872
409	58051	12743
410	58157	12593
411	58258	12443
412	58355	12292
413	58543	12161
414	58643	12011
415	58756	11864
416	58958	11735
417	59061	11586
418	59258	11455
419	59456	11325
420	59655	11194
421	59760	11045
422	59864	10897
423	60057	10765
424	60254	10633
425	60367	10486
426	60554	10352
427	60658	10204
428	60860	10072
429	60953	9922
430	61151	9789
431	61349	9656
432	61454	9509
433	61648	9375
434	61755	9227
435	61864	9081
436	61971	8934
437	62167	8799
438	62270	8652
439	62378	8506
440	62567	8370
441	62669	8223
442	62769	8076
443	62967	7941
444	63074	7795
445	63261	7659
446	63362	7512
447	63471	7367
448	63660	7230
449	63764	7084
450	63954	6948
451	64054	6802
452	64254	6666
453	64364	6521
454	64459	6375
455	64554	6228
456	64656	6083
457	64853	5947
458	65051	5810
459	65155	5665
460	65253	5520
461	65451	5383
462	65649	5246
463	65760	5102
464	65949	4963
465	66149	4826
466	66346	4688
467	66448	4543
468	66645	4405
469	66843	4266
470	66946	4121
471	67143	3983
472	67244	3838
473	67361	3694
474	67543	3554
475	67649	3410
476	67841	3271
477	67950	3127
478	68140	2987
479	68338	2847
480	68441	2703
481	68641	2563
482	68740	2419
483	68840	2275
484	68934	2131
485	69041	1988
486	69139	1845
487	69328	1704
488	69435	1561
489	69628	1420
490	69741	1278
491	69840	1135
492	70027	994
493	70134	851
494	70322	710
495	70519	568
496	70626	426
497	70729	284
498	70831	141
499	70937	0
