,Agent1,Agent2,Agent3,Agent4
0,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
1,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
2,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
3,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
4,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
5,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
6,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
7,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
8,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
9,4079.71723627954,4079.71723627954,4079.71723627954,4079.71723627954
